"","no","ANOVAfull","anova","oldWT-oldHet","young-oldHet","young-oldWT"
"PI(20:1_20:5)",0,0.7723,0.1379,0.3951,0.3138,0.8678
"PI(20:3_20:4)",0,0.0855,0.136,0.4791,1,0.2879
"PI(20:3_20:5)",0,0.4261,0.7212,1,0.9509,1
"PI(22:5_20:4)",0,0.8263,0.2662,0.7635,0.3475,1
"PI(36:5)",0,0.2658,0.1963,0.6295,1,0.3632
"PS(16:0_22:6)",0,0.0928,0.0582,0.3046,0.9927,0.1939
"PS(16:1e_20:4)",0,0.8261,0.9,1,1,1
"PS(16:1e_22:6)",0,0.9832,0.687,1,1,0.8678
"PS(18:0_22:6) (1)",0,0.0354,0.0274,0.2433,0.6779,0.1354
"PS(18:0_22:6) (2)",0,0.3196,0.3518,1,0.4525,0.9201
"PS(18:1e_20:4)",0,0.3723,0.613,0.9929,1,0.8427
"PS(18:1e_20:5)",0,0.7996,0.8655,1,1,1
"PS(18:1e_22:5)",0,0.8256,0.3371,0.9022,1,0.4925
"PS(18:1e_22:6)",0,0.8519,0.2279,0.829,1,0.3632
"PS(18:2e_22:6)",0,0.441,0.5237,0.9183,1,0.78
"PS(18:3e_22:6)",0,0.3454,0.8211,1,1,0.9601
"PS(20:1_22:6)",0,0.1865,0.0595,0.514,0.0844,0.948
"PS(20:2e_22:6)",0,0.9375,0.1886,0.565,0.3083,1
"PS(20:4e_22:6)",0,0.2796,0.8541,1,1,1
"PS(36:6e)",0,0.4807,0.422,0.7654,1,0.7347
"SM(d31:1)",0,0.7959,0.4331,0.8944,0.5865,1
"SM(d32:1)",0,0.3931,0.4752,0.8193,0.773,1
"SM(d33:1) (1)",0,0.4745,0.1793,0.4669,0.7549,0.5945
"SM(d33:1) (2)",0,0.7545,0.2599,0.6298,0.4525,1
"SM(d34:1)",0,0.3281,0.1036,0.3374,0.2441,0.8659
"SM(d35:1)",0,0.4361,0.0216,0.1369,0.143,0.1939
"SM(d36:1)",0,0.0966,0.0945,0.3107,0.4503,0.494
"SM(d37:1)",0,0.8117,0.0813,0.3188,0.1655,0.9365
"SM(d37:3)",0,0.022,0.0363,0.3454,0.9394,0.1171
"SM(d38:1)",0,0.7027,0.8597,1,1,1
"SM(d38:2)",0,0.7641,0.0582,0.9799,0.0894,0.4049
